edge,image,label,ndsm,ndvi
dataset/train/edges/00001.png,dataset/train/images/00001.png,dataset/train/labels/00001.png,dataset/train/ndsms/00001.tif,dataset/train/ndvis/00001.tif
dataset/train/edges/00002.png,dataset/train/images/00002.png,dataset/train/labels/00002.png,dataset/train/ndsms/00002.tif,dataset/train/ndvis/00002.tif
dataset/train/edges/00003.png,dataset/train/images/00003.png,dataset/train/labels/00003.png,dataset/train/ndsms/00003.tif,dataset/train/ndvis/00003.tif
dataset/train/edges/00004.png,dataset/train/images/00004.png,dataset/train/labels/00004.png,dataset/train/ndsms/00004.tif,dataset/train/ndvis/00004.tif
dataset/train/edges/00005.png,dataset/train/images/00005.png,dataset/train/labels/00005.png,dataset/train/ndsms/00005.tif,dataset/train/ndvis/00005.tif
dataset/train/edges/00006.png,dataset/train/images/00006.png,dataset/train/labels/00006.png,dataset/train/ndsms/00006.tif,dataset/train/ndvis/00006.tif
dataset/train/edges/00007.png,dataset/train/images/00007.png,dataset/train/labels/00007.png,dataset/train/ndsms/00007.tif,dataset/train/ndvis/00007.tif
dataset/train/edges/00008.png,dataset/train/images/00008.png,dataset/train/labels/00008.png,dataset/train/ndsms/00008.tif,dataset/train/ndvis/00008.tif
dataset/train/edges/00009.png,dataset/train/images/00009.png,dataset/train/labels/00009.png,dataset/train/ndsms/00009.tif,dataset/train/ndvis/00009.tif
dataset/train/edges/00010.png,dataset/train/images/00010.png,dataset/train/labels/00010.png,dataset/train/ndsms/00010.tif,dataset/train/ndvis/00010.tif
dataset/train/edges/00011.png,dataset/train/images/00011.png,dataset/train/labels/00011.png,dataset/train/ndsms/00011.tif,dataset/train/ndvis/00011.tif
dataset/train/edges/00012.png,dataset/train/images/00012.png,dataset/train/labels/00012.png,dataset/train/ndsms/00012.tif,dataset/train/ndvis/00012.tif
dataset/train/edges/00013.png,dataset/train/images/00013.png,dataset/train/labels/00013.png,dataset/train/ndsms/00013.tif,dataset/train/ndvis/00013.tif
dataset/train/edges/00014.png,dataset/train/images/00014.png,dataset/train/labels/00014.png,dataset/train/ndsms/00014.tif,dataset/train/ndvis/00014.tif
dataset/train/edges/00015.png,dataset/train/images/00015.png,dataset/train/labels/00015.png,dataset/train/ndsms/00015.tif,dataset/train/ndvis/00015.tif
dataset/train/edges/00016.png,dataset/train/images/00016.png,dataset/train/labels/00016.png,dataset/train/ndsms/00016.tif,dataset/train/ndvis/00016.tif
dataset/train/edges/00017.png,dataset/train/images/00017.png,dataset/train/labels/00017.png,dataset/train/ndsms/00017.tif,dataset/train/ndvis/00017.tif
dataset/train/edges/00018.png,dataset/train/images/00018.png,dataset/train/labels/00018.png,dataset/train/ndsms/00018.tif,dataset/train/ndvis/00018.tif
dataset/train/edges/00019.png,dataset/train/images/00019.png,dataset/train/labels/00019.png,dataset/train/ndsms/00019.tif,dataset/train/ndvis/00019.tif
dataset/train/edges/00020.png,dataset/train/images/00020.png,dataset/train/labels/00020.png,dataset/train/ndsms/00020.tif,dataset/train/ndvis/00020.tif
dataset/train/edges/00021.png,dataset/train/images/00021.png,dataset/train/labels/00021.png,dataset/train/ndsms/00021.tif,dataset/train/ndvis/00021.tif
dataset/train/edges/00022.png,dataset/train/images/00022.png,dataset/train/labels/00022.png,dataset/train/ndsms/00022.tif,dataset/train/ndvis/00022.tif
dataset/train/edges/00023.png,dataset/train/images/00023.png,dataset/train/labels/00023.png,dataset/train/ndsms/00023.tif,dataset/train/ndvis/00023.tif
dataset/train/edges/00024.png,dataset/train/images/00024.png,dataset/train/labels/00024.png,dataset/train/ndsms/00024.tif,dataset/train/ndvis/00024.tif
dataset/train/edges/00025.png,dataset/train/images/00025.png,dataset/train/labels/00025.png,dataset/train/ndsms/00025.tif,dataset/train/ndvis/00025.tif
